Date: 12-09-2024
Paper Title,Upvotes
PingPong: A Benchmark for Role-Playing Language Models with User Emulation and Multi-Model Evaluation,46
MEDIC: Towards a Comprehensive Framework for Evaluating LLMs in Clinical Applications,33
Agent Workflow Memory,15
Gated Slot Attention for Efficient Linear-Time Sequence Modeling,14
Hi3D: Pursuing High-Resolution Image-to-3D Generation with Video Diffusion Models,8
gsplat: An Open-Source Library for Gaussian Splatting,8
VMAS: Video-to-Music Generation via Semantic Alignment in Web Music Videos,8
Self-Harmonized Chain of Thought,8
MVLLaVA: An Intelligent Agent for Unified and Flexible Novel View Synthesis,7
ProteinBench: A Holistic Evaluation of Protein Foundation Models,6
Can Large Language Models Unlock Novel Scientific Research Ideas?,5
Instant Facial Gaussians Translator for Relightable and Interactable Facial Rendering,5 

Date: 10-09-2024
Paper Title,Upvotes
Towards a Unified View of Preference Learning for Large Language Models: A Survey, 48
MMEvol: Empowering Multimodal Large Language Models with Evol-Instruct, 33
OneGen: Efficient One-Pass Unified Generation and Retrieval for LLMs, 21
MemoRAG: Moving towards Next-Gen RAG Via Memory-Inspired Knowledge Discovery, 14
Benchmarking Chinese Knowledge Rectification in Large Language Models, 11
Paper Copilot: A Self-Evolving and Efficient LLM System for Personalized Academic Assistance, 11
POINTS: Improving Your Vision-language Model with Affordable Strategies, 7
Robot Utility Models: General Policies for Zero-Shot Deployment in New Environments, 5
UniDet3D: Multi-dataset Indoor 3D Object Detection, 5
Open Language Data Initiative: Advancing Low-Resource Machine Translation for Karakalpak, 4
Insights from Benchmarking Frontier Language Models on Web App Code Generation, 2
Evaluating Multiview Object Consistency in Humans and Image Models, 1

Date: 06-09-2024
Paper Title,Upvotes
Guide-and-Rescale: Self-Guidance Mechanism for Effective Tuning-Free Real Image Editing, 71
Attention Heads of Large Language Models: A Survey, 54
FuzzCoder: Byte-level Fuzzing Test via Large Language Model, 34
CDM: A Reliable Metric for Fair and Accurate Formula Recognition Evaluation, 16
mPLUG-DocOwl2: High-resolution Compressing for OCR-free Multi-page Document Understanding, 16
WildVis: Open Source Visualizer for Million-Scale Chat Logs in the Wild, 14
